Title,Year,Genre,Plot
Practical Magic,1998,"Comedy, Drama, Fantasy","Sisters Sally and Gillian Owens have a special bond with each other despite being different in personality and outlook. Having grown up with their spinster Aunts Frances and Jet in the long time Owens family home on an island off the coast of Massachusetts following the death of their father and then their mother, they are the latest in a long line of witches. Rumors of the Owens women being witches have existed for generations in the small close minded town in which they live, despite there being no hard evidence. The Owens women are also under a curse that any man with who they fall in love is doomed. With this experience, extroverted Gilly decides to leave the island to live life to the fullest, in the process falling for Jimmy Angelov, an ethnic Bulgarian who grew up near Transylvannia. More introspective Sally, who has sworn off the use of magic except in its most practical sense, has taken measures not to fall in love because of the curse, but ends up falling for and marrying Michael, a local merchant, the two who end up having two daughters of their own. The curse works its way into both Gilly and Sally's lives in different ways. The outcomes of the curse on their collective lives become more complicated with the arrival into town of Tuscon police detective Gary Hallet, whose arrival is not by accident and involves more than just his stated professional purpose."
Pleasantville,1998,"Comedy, Drama, Fantasy","David Wagner is a kid whose mind is stuck in the 1950s. He's addicted to a classic 50's sitcom television show called ""Pleasantville"". Pleasntville is a simple place, a place where all of its citizens are swell and simple-minded folks, a place where the word ""violence"", and life outside of Pleasantville, is unbeknown to its inhabitants; things are perfect down in Pleasantville. One evening, the life of David and his obnoxious sister Jennifer take a bizarre turn when an eccentric repairman hand them a supposed magical remote. After a quarrel between the siblings, they inexplicably zap themselves into the world of ""Pleasantville"". Now, David and Jennifer must adjust to a 50s lifestyle of repressed desires and considerably different societal values while trying to find their way home."
Payback,1999,"Action, Crime, Drama","Porter is bad, but his neighbours are worse. Street-wise and tough, an ex-marine, he is betrayed by a one-time partner, and shot in the back by his junkie wife. He survives and returns, looking to recover his share from the robbery of an Asian crime gang. The money has passed into the hands of ""the Outfit"", a slick gangster organisation that runs the city. He has to make his way through a world populated by heroin dealers, prostitutes, sado-masochists, gunmen and crooked cops, a place where torture is a way of life. His only friend is a former employer, a prostitute, and her loyalty is in question, given she now works for the Outfit. He makes good early progress, but then falls into the hands of Fairfax, the crime boss."
Out of Sight,1998,"Crime, Drama, Romance","A career bank robber busts out of jail (Clooney) with the help of his buddy (Rhames) and kidnaps a US Marshal (Lopez) in the process. When the two cons head for Detroit to pull off their final big scam, the Marshal is put on their case but she finds she is attracted to one of them and has second thoughts about bringing them in."
The Odd Couple II,1998,"Adventure, Comedy","It has been seventeen years now since Oscar and Felix saw each other for the last time. Oscar is living in Florida, Felix in New York. One day, Oscar is called by his son Brucey who invites him to his wedding to Felix' daughter Hannah next Sunday in California. Oscar and Felix meet again at Los Angeles International Airport and take a rental car in order to go to San Malina for the wedding. The trip develops into an odyssey, starting with Oscar forgetting Felix' suitcase at the Budget station, going over to the complete loss of the directions (and the car), several difficulties with the police, a dead person, a toupee, underwear and revenge-hungry Cowboys and ending up with Felix meeting the ""one and only"" woman. But the wedding has to be reached on time."
The Object of My Affection,1998,"Comedy, Drama, Romance","George and Nina seem like the perfect couple. They share a cozy Brooklyn apartment, a taste for tuna casserole dinners, and a devotion to ballroom dancing. They love each other. There's only one hitch: George is gay. And when Nina announces she's pregnant, things get especially complicated. Vince - Nina's overbearing boyfriend and the baby's father-wants marriage. Nina wants independence. George will do anything for a little unqualified affection, but is he ready to become an unwed surrogate dad?"
A Night at the Roxbury,1998,"Comedy, Music, Romance","The Roxbury Guys, Steve and Doug Butabi, want to get into the best club in town, and also hope to open their own club. Vivica, a gold-digging supermodel, and her friend Cambi try to work the Roxbury Guys for their money, only to find out the pair is broke."
The Newton Boys,1998,"Action, Crime, Drama","Four Newton brothers are a poor farmer family in the 1920s. The oldest of them, Willis, one day realizes that there's no future in the fields and offers his brothers to become a bank robbers. Soon the family agrees. They become very famous robbers, and five years later execute the greatest train robbery in American history."
The Negotiator,1998,"Action, Crime, Drama","In the midst of an elaborate conspiracy, an expert negotiator is driven to the edge when he's framed for the murder of his partner, as well as embezzling money from his department's pension fund. His only chance to prove his innocence is to take hostages himself, acquire the services of another expert negotiator, and find out who's running the conspiracy before it's too late."
Mighty Joe Young,1998,"Action, Adventure, Family","The baby gorilla left in her care grows up to become a hugely tall and broad specimen by the name of Joe, living in the mountains as a mostly unseen legend among people who live there. Along comes an eco-minded emissary from a California sanctuary, who talks the jungle girl into providing safe haven for Joe at the L.A. facility. The transition is not without discomfort, but everything is aggravated via a conspiracy of poachers to get Joe into their own greedy hands!"
Mercury Rising,1998,"Action, Crime, Drama",Bruce Willis is an outcast FBI agent who protects a 9 year old autistic boy who is the target for assassins after cracking a top secret government code.
Mafia!,1998,"Comedy, Crime","Young Vincenzo Cortino, son of a Sicilian postman, delivers a package for his father and accidentally sees something he should not see. In a donkey's, well, he is smuggled out of town, where he tries to reach a ship headed for America. There, Vincenzo works his way up to the top of the Mafia. One day, his youngest son makes a mistake and has to leave town. A little later, he ends up as a casino boss in Las Vegas. But the heads of the other families want old Don Cortino out of the way. So, they shoot him 47 times and send a *very* attractive woman to distract his son from his casino work. Will he fall for her or will he return to Diane, who, by the way, had run for President successfully in the meantime?"
Lost in Space,1998,"Action, Adventure, Family","In the year 2058, the Earth will soon be uninhabitable after the irreversible effects of pollution and global warming! Professor John Robinson, lead scientist of the Jupiter 2 Mission, will lead his family to the habitable planet Alpha Prime to prep it for colonization. The Jupiter 2 is equipped with a hyperdrive that allows faster-than-light travel, which will eventually be employed to evacuate the citizens of Earth. However hypergates must be constructed on Earth and Alpha Prime to provide stable points of departure and arrival. Dr. Zachary Smith is bribed by a terrorist organization to sabotage the mission, and ends up an unwilling stowaway as the ship blasts off."
The Last Days of Disco,1998,"Comedy, Drama, Music","Last Days of Disco loosely depicts the ""last days"" at a disco palace, where drugs, sex and weirdness ran rampant. The story centers around a group of friends who frequent the disco and each other. All the characters are searching for something to make their lives more fulfilling. Some are searching for everlasting love and some are just wanting something different. As the disco is closed, they all wonder can disco ever really be dead?"
Krippendorf's Tribe,1998,Comedy,"A university professor is paid to find the last undiscovered tribe of New Guinea. When he fails to find the tribe, he comes home, and rather than admitting that he's failed, he gives a lecture about the Shelmikedmu tribe (named after his children: Shelly, Mike, and Edmund) and then has his family dress like ""Shelmikedmus,"" so that he can film them as proof of his discovery."
In Dreams,1999,"Drama, Fantasy, Thriller","The housewife Claire Cooper is married with the pilot Paul Cooper and their little daughter Rebecca is their pride and joy. When a stranger kidnaps a girl, Claire dreams about the man but Detective Jack Kay ignores her concerns. But when Rebecca disappears during a school play, Claire learns that her visions were actually premonitions and she is connected to the killer through her dreams. She has a nervous breakdown and tries to commit suicide. Her psychologist Dr. Silverman sends her to a mental institution and soon she finds that her husband will be the next victim of the serial-killer. Further, the serial-killer was interned in the same cell in the hospital where she is. Will Claire be able to save Paul?"
The General,1998,"Biography, Crime, Drama","The real-life story of Dublin folk hero and criminal Martin Cahill, who pulled off two daring robberies in Ireland with his team, but attracted unwanted attention from the police, the IRA, the UVF and members of his own team."
How Stella Got Her Groove Back,1998,"Comedy, Drama, Romance","Stella is a highly successful, forty-something San Francisco stock broker who is persuaded by her colorful New York girlfriend Delilah to take a well deserved, first-class vacation to Jamaica. As she soaks in the beauty of the island, she encounters a strapping, young islander, Winston Shakespeare. His pursuits for her turn into a hot and steamy romance that forces Stella to take personal inventory of her life and try to find a balance between her desire for love and companionship, and the responsibilities of mother and corporate executive."
Holy Man,1998,"Comedy, Drama","Ricky Hayman, right hand of Good Buy Shopping Network's owner John McBainbridge, is responsible for over two years of very bad sales numbers. He gets a last chance. Accidentally, he and Kate Newell nearly run over G with his car and decide to take him with them. What they never could guess was that G really is the one good man around. Being on the search for enlightenment, G offers his help generously to save Ricky's job. His natural, uncontrollable behaviour soon gets Ricky into really big trouble, but the sales numbers now go up for the first time in months..."
The Hi-Lo Country,1998,"Drama, Romance, Western","An intimate story of the enduring bond of friendship between two hard-living men, set against a sweeping backdrop: the American West, post-World War II, in its twilight. Pete and Big Boy are masters of the prairie, but ultimately face trickier terrain: the human heart."
Hard Rain,1998,"Action, Crime, Drama","In Huntingburg, the armored truck with three million dollars driven by Tom and his Uncle Charlie gets stuck in the flooding and realizes that the town has been evacuated since the dam does not have capacity to hold the storm. While waiting for the National Guard, they are attacked by Jim and his gang formed by Kenny, Mr. Mehlor and Ray and the clumsy Kenny kills Charlie. Tom flees with the bags of money and hides them in the cemetery. Then he is hunted down by Jim and his gang and he hides in a church. Out of the blue, he is knocked out and awakes locked in a cell. Soon he learns that the restorer Karen believed he was a looter and hit him. Sheriff Mike Collins and Deputy Wayne Bryce go to investigate Tom' story while Officer Phil takes Karen out of the town by boat. However she escapes with the boat and goes to the church. Meanwhile Tom is trapped in the cell full of water and Karen rescues him. He decides to return to the armored truck to retrieve a shotgun but he is captured by Jim and his men and learns that Charlie was part of the gang. He tries to retrieve the hidden money for the gang, but Sheriff Collins and his men have already taken it. Soon Tom learns that the Sheriff wants to keep the money for him and his men and Tom and Karen are witnesses and he teams up with Jim."
Halloween H20: 20 Years Later,1998,"Horror, Thriller","On Halloween in 1963, Michael Myers murdered his sister, Judith. In 1978, he broke out to kill his other sister, Laurie Strode. He killed all of her friends, but she escaped. A few years later, she faked her death so he couldn't find her. But now, in 1998, Michael has returned and found all the papers he needs to find her. He tracks her down to a private school where she has gone under a new name with her son, John. And now, Laurie must do what she should have done a long time ago and finally decided to hunt down the evil one last time."
Half Baked,1998,"Comedy, Crime","After Kenny accidentaly kills a cop's diabetic horse by feeding it the food he purchased from a munchie run, he is put in jail and is given a 1 million dollar bail. The rest of the group must bail Kenny out before Nasty Nate gets to him. The group decides to sell marijuana that Thurgood gets through his job as a janitor at a pharmaceutical lab. They become pals with rap star Sir Smoke-A-Lot and the rivals of dealer Samson Simpson. On the side, Thurgood seeks the love of Mary Jane, an anti-pot daughter of a dealer. What follows is typical pothead behaviour with a ton of cameos. Look carefully."
The Governess,1998,"Drama, Romance","When the father of privileged Rosina da Silva violently dies, she decides to pass herself off as a gentile and finds employment with a family in faraway Scotland. Soon she and the family father, Charles, start a passionate secret affair."
Stepmom,1998,"Comedy, Drama","Anna and Ben, the two children of Jackie and Luke, have to cope with the fact that their parents divorced and that there is a new woman in their father's life: Isabel, a successful photographer. She does her best to treat the kids in a way that makes them still feel at home when being with their dad, but also loves her work and does not plan to give it up. But Jackie, a full-time mother, regards Isabel's efforts as offensively insufficient. She can't understand that work can be important to her as well as the kids. The conflict between them is deepened by the sudden diagnosis of cancer, which might may be deadly for Jackie. They all have to learn a little in order to grow together."
Godzilla,1998,"Action, Sci-Fi, Thriller","Following the French atomic bomb tests in the South Pacific, an unknown creature is spotted passing eastward through the Panama Canal. Scientist Niko Tatopolous is called in to investigate the matter, and he quickly arrives at the conclusion that a giant, irradiated lizard has been created by the explosions. Godzilla then makes its way north, landing at Manhattan to begin wreaking havoc in the big city. Even with the combined forces of the U.S. military to fight the monster, will it be enough to save the people of New York?"
Gods and Monsters,1998,"Biography, Drama","The story of James Whale, the director of Frankenstein (1931) and Bride of Frankenstein (1935), in the time period following the Korean War. Whale is homosexual and develops a friendship with his gardener, an ex-Marine."
Gloria,1999,"Crime, Drama, Thriller","A street-wise, middle-aged moll named Gloria stands up against the mobs, which is complicated by a six-year-old urchin with a will of his own who she reluctantly takes under her wing after his family has been gunned down."
Firestorm,1998,"Thriller, Action","Firefighter Jesse Graves has to save ornithologist Jennifer and other people caught in a forest fire, which was set up by the lawyer of convicted killer Earl Shaye, who escaped from the prison with several of his inmates posing as firefighters to recover $37,000,000 in stashed loot."
Fear and Loathing in Las Vegas,1998,"Adventure, Comedy, Drama","The big-screen version of Hunter S. Thompson's seminal psychedelic classic about his road trip across Western America as he and his large Samoan lawyer searched desperately for the ""American dream""... they were helped in large part by the huge amount of drugs and alcohol kept in their convertible, The Red Shark."
Everest,1998,"Documentary, Short","An international team of climbers ascends Mt. Everest in the spring of 1996. The film depicts their lengthy preparations for the climb, their trek to the summit, and their successful return to Base Camp. It also shows many of the challenges the group faced, including avalanches, lack of oxygen, treacherous ice walls, and a deadly blizzard."
Enemy of the State,1998,"Action, Crime, Mystery","Robert Dean is a mild-mannered lawyer who works in Washington D.C. He is on the trail of a kingpin named Pintero. Meanwhile, a politician named Thomas Reynolds is negotiating with Congressman Phillip Hammersley about a new surveillance system with satellites. But, Hammersley declines; Reynolds has Hammersley killed, but the murder is caught on tape, and the taper is chased by Reynolds' team of NSA agents. The guy must ditch the tape, so he plants it on Dean (unbeknownst to Dean). Then, the NSA decides to get into Dean's life. That is when Dean's life began to fall apart all around him, with his wife and job both gone. Dean wants to find out what is going on. Then, he meets a man named ""Brill"" who tells him that Dean has something that the government wants. Dean and Brill formulate a plan to get Dean's life back and turn the tables on Reynolds."
Dirty Work,1998,Comedy,"Mitch and Sam have to come up with $50,000 and fast! The only problem is neither one can hold down a job. Mitch finds a way to money by exploiting the only talents the two have, by opening a ""Revenge For Hire"" business."
Deep Impact,1998,"Action, Drama, Romance","Journalist Jenny Lerner is assigned to look into the background of Secretary Alan Rittenhouse who abruptly resigned from government citing his wife's ill health. She learns from his secretary that Rittenhouse was having an affair with someone named Ellie but when she confronts him, his strange reaction leads her to reconsider her story. In fact, a comet, discovered the previous year by high school student Leo Biederman and astronomer Dr. Marcus Wolf, is on a collision course with the Earth, an Extinction Level Event. A joint US-Russian team is sent to destroy the comet but should it fail, special measures are to be put in place to secure the future of mankind. As the space mission progresses, many individuals deal with their fears and ponder their future."
Meet the Deedles,1998,"Comedy, Family",Two surfers end up as Yellowstone park rangers and have to stop a former ranger who is out for revenge.
"A Cool, Dry Place",1998,Drama,"A single father balances his work as an attorney with the care of his five year old son and his work as a high school basketball coach in rural Kansas, where he moved after his wife abandoned him in Chicago. Just as he starts to develop a new relationship with a veterinarian's assistant, his ex-wife suddenly reappears and wants to re-assert herself in her husband and son's life. On top of the romantic conflict, he is also suddenly presented with the opportunity of a lifetime to join a major firm in Dallas."
A Civil Action,1998,Drama,"Jan Schlichtmann, a tenacious lawyer, is addressed by a group of families. When investigating the seemingly non-profiting case, he finds it to be a major environmental issue that has a lot of impact potential. A leather production company could be responsible for several deadly cases of leukemia, but also is the main employer for the area. Schlichtmann and his three colleagues set out to have the company forced to decontaminate the affected areas, and of course to sue for a major sum of compensation. But the lawyers of the leather company's mother company are not easy to get to, and soon Schlichtmann and his friends find themselves in a battle of mere survival."
City of Angels,1998,"Drama, Fantasy, Romance","Seth is an angel who accompanies the spirits of the recently dead to the ever after. Seth has never been human and so has has never experienced touch or taste. When in the hospital however he comes across Dr. Maggie Rice, a brilliant young heart surgeon who is devoted to her profession and her patients. Seth has the power to let himself be seen but Maggie finds him far too mysterious. Seth also meets a patient, Nathaniel Messinger, who has news for him - he too was once an angel like Seth but chose to fall to Earth and become human. Seth makes a decision on his future, which does not turn out as he had expected."
Ever After: A Cinderella Story,1998,"Comedy, Drama, Romance","With the sudden death of her loving father, Danielle is made a servant by her new stepmother. She also has two new stepsisters, one quite kind but the other one really horrid. Still, Danielle grows up to be a happy and strong-willed young lady, and one day her path crosses that of handsome Prince Henry, who has troubles of his own at home. Luckily the nice Leonardo da Vinci is on hand to help all round."
A Bug's Life,1998,"Animation, Adventure, Comedy","At an annual pace, a huge colony of ants is forced to collect every piece of food that grows on their island for a group of menacing grasshoppers. But that all changes when a misfit inventor ant named Flik accidentally knocks over the offering pile thus forcing the grasshoppers' devious leader Hopper to force the ants to redo their gathering of food. Despite the fact that his friends don't believe him and desperate to help save the colony, Flik volunteers to go out into the world and search for a group of 'warrior' bugs. Instead, what he got was a talented group of circus performers. But when the grasshoppers return and take control of the island, Flik must prove himself a true hero before it's too late."
Blade,1998,"Action, Horror","In a world where vampires walk the earth, Blade has a goal. His goal is to rid the world of all vampire evil. When Blade witnesses a vampire bite Dr. Karen Jenson, he fights away the beast and takes Jenson back to his hideout. Here, alongside Abraham Whistler, Blade attempts to help heal Jenson. The vampire Quinn who was attacked by Blade, reports back to his master Deacon Frost, who is planning a huge surprise for the human population."
The Big Hit,1998,"Action, Comedy, Crime","To payoff his second girlfriend's debt, hitman Melvin Smiley undertakes a kidnapping job with his usual associates. In a world of prospective Jewish in-laws and late movie fees, the hitman falls in love with the victim and must settle the score with those out to double-cross him."
Babe: Pig in the City,1998,"Adventure, Comedy, Drama","After Babe's great victory in the shepherding contest, Farmer Arthur Hoggett turns down all offers to make money with his pig's talents. But when he gets hurt severely in the well, his wife has to take up farming. She does her best but cannot meet the bank's requirements, which results in the necessity of getting back to Babe. Soon, Esme Hoggett is sitting in a plane headed for ""the"" city. There, Babe unwillingly causes deep trouble. He has to stay with Mrs. Hoggett in the only hotel in town that accepts pets. Friendly neighbours send officials who catch all animals from the hotel: Cats, dogs, chimpanzees and many others. Babe, who managed to stay free, decides to help his new friends and gets unexpected help - not only by Ferdinand, who flew all the way to the city."
Dance with Me,1998,"Drama, Romance, Music","Young Cuban Rafael just buried his mother, and comes to Houston to meet his father John for the first time. The difficult part is that John doesn't know he is Rafael's father. John runs a dance studio, and everyone prepares for the World Open Dance championship in Las Vegas. It soon becomes clear Rafael is a very good dancer, and Ruby is the biggest hope for the studio at the championship."
Year of the Horse,1997,"Documentary, Music","This film documents Neil Young and Crazy Horse's 1996 concert tour. Jim Jarmusch interviews the band about their long history, and we see backstage footage from the 1970s and 1980s."
Celebrity,1998,"Comedy, Drama","New York City. Forty year old Lee Simon, a critically panned two time novelist who works as a travel writer (a job he hates) to earn a steady living, tells his shocked wife of sixteen years, English teacher Robin Simon, that he wants a divorce. Although he had not been happy with Robin for some time, she who he feels is a bundle of Catholic repressions and neuroses especially when it comes to sex, Lee finally came to the conclusion about wanting a divorce upon attending his high school reunion and seeing a roomful of losers, he believing he turning into one of them if he didn't make a drastic change. He gets a job working as a journalist for an entertainment magazine, while he writes screenplays on the side, he believing the latter a good stepping stone to finishing his third novel if the screenplays works out. The journalist job includes conducting interviews with celebrities, not only to who he can pedal his completed screenplay, but also what he quickly learns to who he has easy access to an abundance of sex with the ""beautiful people"". Regardless, Lee enters into a relationship with Bonnie, a publishing house story editor who encourages him to complete that novel, which she truly believes will be better than the first two if only due to maturity. Meanwhile, Robin, who is not taking the divorce well, is convalescing at a Catholic retreat before she, with the support of her friends Jan and Cheryl, decides what next to do with her life, she believing that returning to teaching not the answer. During her search, Robin unexpectedly stumbles onto her own connection with celebrity when she meets television producer Tony Gardella, who hires her to be a production assistant with his company. Lee and Robin's resulting stories take them in two different directions, one toward and the other away from the true happiness that was absent from their marriage."
Woo,1998,"Comedy, Romance","Darlene ""Woo"" Bates, played by Jada Pinkett Smith, has been dumped a little bit too many times, now this femme-fatale doesn't let just any man swing with her, and when she's set up on a blind-date with Tommy Davidson's character, it could be love.. if they don't kill each other first. ""Woo"" features cameos by Foxy Brown, LL Cool J, and Duane Martin."
Wonderland,1997,Documentary,N/A
Wishmaster,1997,"Fantasy, Horror","In the beginning of the times, God created life into universe: light gave birth to angels, earth to men and fire to djin, creatures condemned to dwell in the void between the worlds. One who wakes a djin shall be given three wishes. Upon granting the third, an unholy legion of djins are freed through a doorway between the worlds upon the Earth. In 1127 A.D., in Persia, a sorcerer lures and traps a powerful Djinn in the stone of secret fire. In the present days, a drunken crane operator drops the valuable statue of Ahura Mazda over the assistant of Raymond Beaumont on the harbor, and one worker finds the huge and priceless opal red stone where Djin is seized. Alexandra Amberson, who works in an auction house, receives the stone for evaluation and accidentally awakes Djin. The evil creature is released later, charges the stone with people souls and feeds with their fears, while chasing Alexandra to force to make three wishes and unleash the demoniac fiends upon Earth."
The Winter Guest,1997,Drama,"The film centers on four pairs - Frances is a recent widow who wants to get away from Scotland to Australia with her teenage son Alex to escape her memories, arrival of her old mother Elspeth makes her reconsider her decision. Alex approaches his first sexual experience with neighbour girl Nita. Chloe and Lily are two old women who like to attend strangers' funerals and Tom with Sam are two schoolboys who skip school to play on the beach and talk."
The Wings of the Dove,1997,"Drama, Romance","Kate Croy's mother was born to wealth and privilege, but she threw it all away to marry Kate's father, a penniless opium addict who admits to having stolen from his wife. After her mother's death, Kate is offered an opportunity to return to the life her mother gave up. There is a condition, however: Kate must sever all of her old ties, not only to her father, but also to her lover, the muck-raking journalist Merton Densher, whom she has promised marriage. Kate reluctantly agrees to this, and in the meantime becomes friendly with ""the world's richest orphan,"" Millie Theale, an American making the Grand Tour. Desperate to see Kate, Merton crashes a party that she and Millie are attending, and Millie is attracted to him. When Kate learns that Millie is dying, she comes up with a plan to have her cake and eat it too...but all does not go as planned."
Wide Awake,1998,"Comedy, Drama, Family",A fifth grader goes on a search for God after his grandfather dies. Along the way he gets into tons of trouble at Waldron Academy an all-boys school. Also he is aided on his search by a sports-loving nun.
Welcome to Sarajevo,1997,"Drama, War","Journalist Floyd from US, Michael Henderson from UK and their teams meet the beginning of Bosnian war in Sarajevo. During their reports they find an orphanage run by devoted Mrs. Savic near the front line. Henderson gets so involved in kids' problems that he decides to take on the children, Emira, illegally back to England. He is assisted by American aid worker Nina."
Volcano,1997,"Action, Drama, Sci-Fi","Something unspeakably chilling is ultimately starting to heat up at The City of Los Angeles! Beneath the famed La Brea Tar Pits, a raging volcano has formed, raining a storm of deadly fire bombs and an endless tide of white-hot lava upon the stunned city!"
Virus,1999,"Action, Horror, Thriller","When a typhoon cripples their boat, the crew sails into the eye of the storm, where they discover a high-tech Russian communications and research vessel adrift. Only one Russian crew member is still alive, raving about ""intelligent lightning."" They soon discover that an alien life form has taken over the ship's computers and is churning out mechanical warriors. With their own boat destroyed, the crew must battle the creature as the ship reenters the storm."
Vegas Vacation,1997,Comedy,"When Clark Griswold puts his mind to something, we soon realize he hasn't got one. Still, nothing stops him when the vacation bug hits. This time, he's chosen Las Vegas, the new family entertainment capital of America! Chevy Chase returns as bubbly, bumbling Clark in Vegas Vacation, a jokers-are-wild laugh fest including two other stars from past Vacations. Beverly D'Angelo is back as wife Ellen, doting on the guy she calls ""Sparky,"" and Randy Quaid again delights as grubby goof ball Cousin Eddie. Ethan Embry (That Thing You Do!) and screen-debuting Marisol Nichols are Griswold teens who love the round-the-clock nightlife - as long as they don't share it with Mom and Dad! From Seigfried and Roy's extravaganza to a Hoover Dam tour, from cruising to losing (Wallace Shawn as a shifty blackjack dealer) to amorous crooning (Wayne Newton falls for Ellen): watch Clark try to keep family and wallet together!"
Underworld,1996,"Comedy, Thriller","After spending seven years behind bars, Johnny Crown is back on the street, with lots of cash, a psychotherapy degree and a burning desire to find and punish gangsters who had killed his father. One of the people involved is Frank Gavillan, who unwillingly follows Johnny in his demonical and ultraviolent crusade."
Ulee's Gold,1997,Drama,"Ulee is called one day by his incarcerated son, Jimmy, asking for a favor. Jimmy will repay his debts if they save his wife, Helen, from hoodlums. Ulee must now risk his and his family's lives to save Helen."
The Ugly,1997,"Drama, Horror, Thriller","Simon is a confessed serial killer who spent the last five years in a mental hospital because of his state. Dr.Karen Shoemaker wants to get through to him and starts visiting him in the hospital, and his previous life comes to us in flashbacks."
U Turn,1997,"Crime, Drama, Thriller","When Bobby's car breaks down in the desert while on the run from some of the bookies who have already taken two of his fingers, he becomes trapped in the nearby small town where the people are stranger than anyone he's encountered. After becoming involved with a (unbeknownst to him) young married woman, her husband hires Bobby to kill her. Later, she hires Bobby to kill the husband."
Twin Town,1997,"Comedy, Drama","Twin Town opens with wide sweeping shots of seaside Swansea; to be the place of action for the next one and a half hours. The serene setting with miles upon miles of old semi-detached housing is suddenly cleaved apart by two young lads tearing through the neighbourhood in a two tone BMW 525. Julian and Jeremy are in deep trouble. Their dysfunctional family scrapes together a living from their dole money and odd-jobs offered to their father. The boys have long since turned to drug abuse and car theft leading a happy-go-lucky life in downtown no-hoper city. In due course the plot thickens as the boys are out for revenge against wealthy club owner Bryn who is not particularly helpful in providing compensation when their father is hit by an accident when working on his premises. The boys are fairly imaginative when it comes to planning their strike, culminating in scenes which all dog-haters and karaoke loathers will love."
Turbulence,1997,"Action, Thriller","Ryan Weaver romances beautiful women before he kills them. Ryan is arrested, convicted, and is part of a Christmas Eve transfer of prisoners on a transcontinental 747 commercial flight. Other airlines at JFK may have holiday passengers waiting on stand-by, but this jumbo jet takes off with a lot of empty seats. Ryan and another prisoner overpower and kill their guards. The few civilian passengers are herded into a ""pantry"" on the plane and are not seen again until the end of the movie. Ryan eliminates the other prisoners and all the crew members except Teri Halloran. The remainder of the movie follows a ""cat-and-mouse"" game between Ryan and Teri on the 747."
The Truman Show,1998,"Comedy, Drama, Sci-Fi","In this movie, Truman is a man whose life is a fake one... The place he lives is in fact a big studio with hidden cameras everywhere, and all his friends and people around him, are actors who play their roles in the most popular TV-series in the world: The Truman Show. Truman thinks that he is an ordinary man with an ordinary life and has no idea about how he is exploited. Until one day... he finds out everything. Will he react?"
Touch,1997,"Comedy, Drama, Romance","When Juvenal, a presumed miracle worker, appears on the scene Bill Hill attempts to exploit him but his plans go astray with the untimely intervention of August Murray and the developing relationship between Juvenal and Lynn Faulkner."
Tomorrow Never Dies,1997,"Action, Adventure, Thriller","Agent James Bond 007 is on a mission which includes a media tycoon, his former lover and a Chinese agent. Elliot Carver wants to complete his global media empire, but in order for this to work, he must achieve broadcasting rights in China. Carver wants to start up World War III by starting a confrontation over British and Chinese waters. Bond gains the help of Wai Lin on his quest to stop him, but how will Bond feel when he meets up with his former lover, who is now Carver's wife."
Titanic,1997,"Drama, Romance","84 years later, a 100 year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning."
A Simple Plan,1998,"Crime, Drama, Thriller","Three diverse characters, for the most part intellectually challenged, find a deserted plane with a bag full of millions of dollars inside. They devise a simple plan to keep the money if no-one claims it. Ofcourse, nothing turns out simple..."
A Thousand Acres,1997,Drama,"A THOUSAND ACRES is a drama about an American family who meets with tragedy on their land. It is the story of a father, his daughters, and their husbands, and their passion to subdue the history of their land and its stories."
Smoke Signals,1998,"Comedy, Drama","Young Indian man Thomas is a nerd in his reservation, wearing oversize glasses and telling everyone stories no-one wants to hear. His parents died in a fire in 1976, and Thomas was saved by Arnold. Arnold soon left his family (and his tough son Victor), and Victor hasn't seen his father for 10 years. When Victor hears Arnold has died, Thomas offers him funding for the trip to get Arnold's remains, but only if Thomas will also go with him. Thomas and Victor hit the road."
The Sweet Hereafter,1997,Drama,"A small community is torn apart by a tragic accident which kills most of the town's children. A lawyer visits the victims' parents in order to profit from the tragedy by stirring up the their anger and launching a class action suit against anyone they can blame. The community is paralyzed by its anger and cannot let go. All but one young girl, left in a wheelchair after the accident, who finds the courage to lead the way toward healing."
Storefront Hitchcock,1998,"Documentary, Music","Rock-music lover and feature-film director Jonathan Demme takes on eccentric British singer-songwriter, Robyn Hitchcock, in an ambitious concert film. Setting up a stage in a New York storefront, Hitchcock plays with his back to the glass, while an audience looks on inside and passersby view the action through the window."
Still Breathing,1997,"Comedy, Drama, Romance","Two lost souls: she a con-artist in L.A.; he a puppeteer in San Antonio have the same dream linking each with the other. He travels to L.A. to find this woman he has become obsessed with. She resists, afraid of his kooky ideas until she travels with him to San Antonio and meets his wise grandmother. Story of two disparate people linked by ""fate"" gets increasingly interesting as it rolls along."
Steel,1997,"Action, Crime, Sci-Fi","John Henry Irons designs weapons for the military. When his project to create weapons that harmlessly neutralize soldiers is sabotaged, he leaves in disgust. When he sees gangs are using his weapons on the street, he uses his brains and his Uncle Joe's junkyard know-how to fight back, becoming a real man of ""steel."""
