Title,Year,Rated,Genre(s),Plot
Beautiful Girls,1996,R,"Comedy, Drama, Romance","New York based jazz pianist Willie Conway heads back to his small hometown of Knights Ridge, Massachusetts for a high school reunion. The trip is as much to go to the reunion and see his old friends - none of whom left Knights Ridge after graduation - as it is to get away from his current life, at which he is at a crossroads both personally and professionally. He is just eking out a living with his piano playing gigs, and as such he is thinking about taking a sales job. He's also not sure if he's ready to marry his long time girlfriend, lawyer Tracy Stover. Most of Willie's Knights Ridge blue collar friends' best days were in high school, they still having that ""trophy"" mentality of girlfriends and wives. Only Michael ""Mo"" Morris is happily married with a family. Paul Kirkwood, whose room is plastered with magazine pictures of models, wants his waitress ex-girlfriend Jan back only because he knows now that he can't have her. And Tommy ""Birdman"" Rowland, who was the big man in high school, is trying to end his affair with his now married high school girlfriend, Darian Smalls. Despite knowing about Darian, Tommy's current girlfriend, Sharon Cassidy, stands by her man through bad and worse. A cousin of their bar owning friend Stanley ""Stinky"" Womack, the beautiful Andera who is visiting from Chicago, may provide the voice of reason for this group of friends in dealing with their women problems. Some reason is what Willie may need in trying to figure out why he is attracted to Marty, his father's thirteen year old neighbor, especially as Willie learns that Tracy has decided to join him for the reunion."
Broken Arrow,1996,R,"Action, Adventure, Thriller","""Broken Arrow"" is the term used to describe a nuclear device that has been lost. In this movie, two nuclear missiles are stolen by rogue US pilot Deakins, but hot on his trail is his co-pilot Hale and a Park Ranger, Terry. The action takes place in Utah's canyon country; a high stakes game of cat and mouse."
A Midwinter's Tale,1995,R,Comedy,"Out of work actor Joe volunteers to help try and save his sister's local church for the community by putting on a Christmas production of Hamlet, somewhat against the advice of his agent Margaretta. As the cast he assembles are still available even at Christmas and are prepared to do it on a 'profit sharing' basis (that is, they may not get paid anything) he cannot expect - and does not get - the cream of the cream. But although they all bring their own problems and foibles along, something bigger starts to emerge in the perhaps aptly named village of Hope."
Mr. Wrong,1996,PG-13,Comedy,"Martha is a single woman working at a television talk show. When her younger sister gets married, everyone's wondering when Martha is going to meet Mr. Right and tie the knot. When by chance, Martha meets a handsome stranger named Whitman, the two fall madly in love with each other. But soon Martha discovers little quirks in Whitman... little quirks that become horrifying nightmares. But by the time Martha realizes that she must break up with him, it'll take more than subtle hints to make him go away -- she'll have to get into the most outrageous predicaments to rid herself of Mr. Wrong."
Unforgettable,1996,R,"Drama, Mystery, Sci-Fi","Unsuccessfully framed for his wife's murder, Dr. David Krane attempts to find the real culprit by utilizing a new drug that allows him to experience the memories of other people first-hand. As he gets closer to the truth, the injections begin to take their toll on his life. Additionally, a history of alcoholism, a career crisis, and the involvement of police officers in the murder all conspire to prevent Dr. Crane from learning what really happened. The challenge, then, is for the doctor to overcome these obstacles before his time runs out."
Happy Gilmore,1996,PG-13,"Comedy, Sport",A Hockey player wannabe finds out that he has the most powerful golf drive in history. He joins the P.G.A. tour to make some money to save grandma's house. The downside is that his hocky player mentality doesn't really go on the P.G.A. tour. Especially with the favorite to win the championship.
The Bridges of Madison County,1995,PG-13,"Drama, Romance","The path of Francesca Johnson's future seems destined when an unexpected fork in the road causes her to question everything she had come to expect from life. While her husband and children are away at the Illinois state fair in the summer of 1965, Robert Kincaid happens turn into the Johnson farm and asks Francesca for directions to Roseman Bridge. Francesca later learns that he was in Iowa on assignment from National Geographic magazine. She is reluctant seeing that he's a complete stranger and then she agrees to show him to the bridges and gradually she talks about her life from being a war-bride from Italy which sets the pace for this bittersweet and all-too-brief romance of her life. Through the pain of separation from her secret love and the stark isolation she feels as the details of her life consume her, she writes her thoughts of the four-day love affair which took up three journals. The journals are found by her children after the lawyer was going over Francesca's will and all the contents which produces a key to her hope chest in the bedroom which contained some of hers and Robert's things. The message they take from the diaries is to what you what you have to do to be happy in life. After learning that Robert Kincaid's cremated remains were scattered off Roseman Bridge and that their mother requested that she too be cremated and her ashes to be scattered off Roseman Bridge, the children must decide whether to honor their mother's final wishes or bury her alongside their father as the family had planned. Adapted from the novel by Robert James Waller, this is the story of a special love that happens just once in a lifetime -- if you're lucky."
Muppet Treasure Island,1996,G,"Action, Adventure, Comedy",The Muppets are back into action in another movie based on a novel written by Robert Louis Stevenson. Kermit the Frog and his colleagues go on a warfare against ruthless pirates. They also share their problem-solving journey on sea to rescue a treasure.
The Time of the Doctor,2013,TV-PG,"Adventure, Drama, Family","The Doctor's worst enemies, The Daleks, The Cybermen, The Angels and The Silence, return, as the doctor's eleventh life comes to a close, and his twelfth life begins."
Planes: Fire & Rescue,2014,PG,"Animation, Adventure, Comedy","When world-famous air racer Dusty learns that his engine is damaged and he may never race again, he must shift gears and is launched into the world of aerial firefighting. Dusty joins forces with veteran fire and rescue helicopter Blade Ranger and his team, a bunch of all-terrain vehicles known as The Smokejumpers. Together, the fearless team battles a massive wildfire, and Dusty learns what it takes to become a true hero."
The Hundred-Foot Journey,2014,PG,"Comedy, Drama","The family of talented cook, Hassan Kadam, has a life filled with both culinary delights and profound loss. Drifting through Europe after fleeing political violence in India that killed the family restaurant business and their mother, the Kadams arrive in France. Once there, a chance auto accident and the kindness of a young woman, Marguerite, in the village of Saint-Antonin-Noble-Val inspires Papa Kadam to set up a Indian restaurant there. Unfortunately, this puts the Kadams in direct competition with the snobbish Madame Mallory's acclaimed haute cuisine establishment across the street where Marguerite also works as a sous-chef. The resulting rivalry eventually escalates in personal intensity until it goes too far. In response, there is a bridging of sides initiated by Hassan, Marguerite and Madame Mallory herself, both professional and personal, that encourages an understanding that will change both sides forever."
The Guest,2014,R,"Mystery, Thriller","A soldier introduces himself to the Peterson family, claiming to be a friend of their son who died in action. After the young man is welcomed into their home, a series of accidental deaths seem to be connected to his presence."
The Theory of Everything,2014,PG-13,"Biography, Drama, Romance","The Theory of Everything is the story of the most brilliant and celebrated physicist of our time, Stephen Hawking, and Jane Wilde the arts student he fell in love with whilst studying at Cambridge in the 1960s. Little was expected from Stephen Hawking, a bright but shiftless student of cosmology, given just two years to live following the diagnosis of a fatal illness at 21 years of age. He became galvanized, however, by the love of fellow Cambridge student, Jane Wilde, and he went on to be called the successor to Einstein, as well as a husband and father to their three children. Over the course of their marriage as Stephen's body collapsed and his academic renown soared, fault lines were exposed that tested the lineaments of their relationship and dramatically altered the course of both of their lives."
Just Before I Go,2014,R,"Comedy, Drama","Ted Morgan has been treading water for most of his life. After his wife leaves him, Ted realizes he has nothing left to live for. Summoning the courage for one last act, Ted decides to go home and face the people he feels are responsible for creating the shell of a person he has become. But life is tricky. The more determined Ted is to confront his demons, to get closure, and to withdraw from his family, the more Ted is yanked into the chaos of their lives. So, when Ted Morgan decides to kill himself, he finds a reason to live."
Batman v Superman: Dawn of Justice,2016,PG-13,"Action, Adventure, Fantasy","The general public is concerned over having Superman on their planet and letting the ""Dark Knight"" - Batman - pursue the streets of Gotham. While this is happening, a power-phobic Batman tries to attack Superman.,Meanwhile Superman tries to settle on a decision, and Lex Luthor, the criminal mastermind and millionaire, tries to use his own advantages to fight the ""Man of Steel""."
The Purge: Anarchy,2014,R,"Action, Horror, Sci-Fi","A couple are driving home when their car breaks down just as the Purge commences. Meanwhile, a police sergeant goes out into the streets to get revenge on the man who killed his son, and a mother and daughter run from their home after assailants destroy it. The five people meet up as they attempt to survive the night in Los Angeles."
Hot Pursuit,2015,PG-13,"Action, Comedy, Crime","Rose Cooper is an uptight and by-the-book cop whose name has become a verb synonymous with screw-ups, and she's found a chance to redeem herself. She has been assigned to protect a federal witness, Daniella Riva, the vivacious and outgoing widow of a drug boss. As the two polar opposites race through Texas, they find themselves pursues by everyone from crooked cops to murderous gunmen. However, their greatest obstacle to making this out alive may be themselves as they learn that Cooper has now been considered a fugitive fleeing with Danielle."
Comet,2014,R,"Comedy, Drama, Romance","Justin Long and Emmy Rossum are star-crossed lovers whose relationship blooms and unravels over the course of six years in this mysterious, dazzlingly original romance. When a chance encounter brings together the cynical Dell (Long) and the quick-witted Kimberly (Rossum), the stage is set for a tempestuous love affair that unfolds like a puzzle. As the film zigzags back and forth in time-from a meteor shower in LA, to an encounter in a Paris hotel room, to a fateful phone call-an unforgettable portrait of a relationship emerges. Sumptuously shot and boasting incredible chemistry between the leads, Comet is a one-of-a-kind cosmic love story."
Backcountry,2014,R,"Drama, Horror, Thriller","An urban couple go camping in the Canadian wilderness - where unimaginable beauty sits alongside our most primal fears. Alex (Jeff Roop) is a seasoned outdoorsman while Jenn (Missy Peregrym), a corporate lawyer, is not. After much convincing, and against her better judgment, she agrees to let him take her deep into a Provincial Park to one of his favorite spots - the secluded Blackfoot Trail. On their first night, deep in the forest, they have an unsettling encounter with Brad (Eric Balfour), a strange alpha male with eyes for Jenn who may or may not be following them. Alex's desire to quickly reach Blackfoot Trail only intensifies. They push further and further into the woods, Alex stubbornly insisting that he remembers the way. After three days their path disappears; they are hopelessly lost. Without food or water, they struggle to find their way back, the harsh conditions bringing out the best and worst in them, pushing their already fragile relationship to the breaking point. When they realize they have entered a bear's territory, being lost suddenly becomes the least of their problems. Terror, horror, will, and survival become paramount."
A Most Violent Year,2014,R,"Crime, Drama, Thriller","A crime drama set in New York City during the winter of 1981, statistically one of the most violent years in the city's history, and centered on the lives of an immigrant and his family trying to expand their business and capitalize on opportunities as the rampant violence, decay, and corruption of the day drag them in and threaten to destroy all they have built."
John Wick,2014,R,"Action, Crime, Thriller",An ex-hitman comes out of retirement to track down the gangsters that killed his dog and took everything from him.
Obvious Child,2014,R,"Comedy, Drama, Romance","For aspiring comedian Donna Stern, everyday life as a female twenty-something provides ample material for her relatable brand of humor. On stage, Donna is unapologetically herself, joking about topics as intimate as her sex life and as crude as her day-old underwear. But when Donna winds up unexpectedly pregnant after a one-night stand, she is forced to face the uncomfortable realities of independent womanhood for the first time. Donna's drunken hookup - and epic lapse in prophylactic judgment - turns out to be the beginning of an unplanned journey of self-discovery and empowerment."
Insurgent,2015,PG-13,"Action, Adventure, Sci-Fi","One choice can transform you-or it can destroy you. But every choice has consequences, and as unrest surges in the factions all around her, Tris Prior must continue trying to save those she loves--and herself--while grappling with haunting questions of grief and forgiveness, identity and loyalty, politics and love. Tris's initiation day should have been marked by celebration and victory with her chosen faction; instead, the day ended with unspeakable horrors. War now looms as conflict between the factions and their ideologies grows. And in times of war, sides must be chosen, secrets will emerge, and choices will become even more irrevocable--and even more powerful. Transformed by her own decisions but also by haunting grief and guilt, radical new discoveries, and shifting relationships. Tris must fully embrace her Divergence, even if she does not know what she may lose by doing so."
99 Homes,2014,R,Drama,"Around the world everyone knows that honest hard work gets you nowhere. In sunny Orlando, Florida, construction worker Dennis Nash learns this the hard way when he is evicted from his home by a charismatic, gun-toting real-estate broker, Rick Carver. Humiliated and homeless, Nash has no choice but to move his mom and nine-year old son into a shabby, dangerous motel. All is lost. Until an unexpected opportunity arises for Nash to strike a deal with the devil - he begins working for Carver in a desperate attempt to get his home back. Carver seduces Nash into a risky world of scamming and stealing from the banks and the government; he teaches Nash how the rich get richer. Living a double life, Nash hides his new boss and job from his family. He rises fast and makes real money; he dreams bigger. But there is a cost. On Carver's orders, Nash must evict honest families from their homes - just as it happened to him. Nash's conscience starts tearing him apart... but his son needs a home. In a dramatic high stakes climax, with a 1,000 home deal on the line, Nash will have to choose between destroying an honest man for the ultimate win or risking it all by going against Carver and finding redemption."
I Origins,2014,R,"Drama, Romance, Sci-Fi","I Origins begins when graduate student, Ian Gray, is researching the evolution of human eyes with Karen and Kenny, in order to prove that eyes have evolved instead of ""appeared"" as creationists claim. His fascination with eyes takes him into areas that have profound personal and cultural consequences."
Chef,2014,R,"Adventure, Comedy, Drama","Carl Casper is an acclaimed chef with a family life that seems as decaying as his artistic freedom. Those frustrations boil over into a raucous viral-videoed public confrontation against a restaurant critic who panned his cooking of food that his boss ordered him to make against his instincts. Now with his career ruined, Carl's ex-wife offers an unorthodox solution in Miami: refit an old food truck to offer quality cooking on his own terms. Now with his young son, Percy, and old colleague, Martin, helping, Carl takes a working trip across America with that truck to rediscover his gastronomic passion. With Percy's tech savvy and Martin's enthusiasm, Carl finds that he is creating a traveling sensation on the way home. In doing so, Carl discovers he is serving up more than simply food, but also a deeper connection with his life and his family that is truly delicious in its own way."
Lucy,2014,R,"Action, Sci-Fi, Thriller","It was supposed to be a simple job. All Lucy had to do was deliver a mysterious briefcase to Mr. Jang. But immediately Lucy is caught up in a nightmarish deal where she is captured and turned into a drug mule for a new and powerful synthetic drug. When the bag she is carrying inside of her stomach leaks, Lucy's body undergoes unimaginable changes that begins to unlock her mind's full potential. With her new-found powers, Lucy turns into a merciless warrior intent on getting back at her captors. She receives invaluable help from Professor Norman, the leading authority on the human mind, and French police captain Pierre Del Rio."
Nightcrawler,2014,R,"Crime, Drama, Thriller","NIGHTCRAWLER is a thriller set in the nocturnal underbelly of contemporary Los Angeles. Jake Gyllenhaal stars as Lou Bloom, a driven young man desperate for work who discovers the high-speed world of L.A. crime journalism. Finding a group of freelance camera crews who film crashes, fires, murder and other mayhem, Lou muscles into the cut-throat, dangerous realm of nightcrawling - where each police siren wail equals a possible windfall and victims are converted into dollars and cents. Aided by Rene Russo as Nina, a veteran of the blood-sport that is local TV news, Lou blurs the line between observer and participant to become the star of his own story."
Life Partners,2014,R,"Comedy, Romance",Sasha and Paige's co-dependent friendship is tested as Paige gets serious with a guy for the first time.
Magic in the Moonlight,2014,PG-13,"Comedy, Romance","Stanley is a magician who has dedicated his life to revealing fraudulent spiritualists. He plans to quickly uncover the truth behind celebrated spiritualist Sophie and her scheming mother. However, the more time he spends with her, he starts thinking that she might actually be able to communicate with the other world, but even worse, he might be falling in love with her."
Amy,2015,R,"Documentary, Biography, Music","A documentary on the life of Amy Winehouse, the immensely talented yet doomed songstress. We see her from her teen years, where she already showed her singing abilities, to her finding success and then her downward spiral into alcoholism and drugs."
"As Above, So Below",2014,R,"Horror, Mystery, Thriller","Miles of twisting catacombs lie beneath the streets of Paris, the eternal home to countless souls. When a team of explorers ventures into the uncharted maze of bones, they uncover the dark secret that lies within this city of the dead. A journey into madness and terror, As Above, So Below reaches deep into the human psyche to reveal the personal demons that come back to haunt us all."
Pitch Perfect 2,2015,PG-13,"Comedy, Music","The Bellas are back, and they are better than ever. After being humiliated in front of none other than the President of the United States of America, the Bellas are taken out of the Aca-Circuit. In order to clear their name and regain their status, the Bellas take on a seemingly impossible task: winning an International competition no American team has ever won. In order to accomplish this monumental task, they need to strengthen the bonds of friendship and sisterhood, and blow away the competition with their amazing aca-magic! With all new friends and old rivals tagging along for the trip, the Bellas can hopefully accomplish their dreams once again."
White God,2014,R,"Drama, Fantasy, Horror","A cautionary tale between a superior species and its disgraced inferior - Favoring pedigree dogs, a new regulation puts a severe tax on mixed breeds. Owners dump their dogs and shelters become overcrowded. 13-year-old Lili fights desperately to protect her pet Hagen, but her father eventually sets the dog free on the streets."
Furious 7,2015,PG-13,"Action, Crime, Thriller","Dominic and his crew thought they'd left the criminal mercenary life behind. They'd defeated international terrorist Owen Shaw and went their separate ways. But now, Shaw's brother, Deckard Shaw, is out killing the crew one by one for revenge. Worse, a Somalian terrorist called Jakarde and a shady government official called ""Mr. Nobody"" are both competing to steal a computer terrorism program called ""God's Eye,"" that can turn any technological device into a weapon. Torretto must reconvene with his team to stop Shaw and retrieve the God's Eye program while caught in a power struggle between the terrorist and the United States government."
Justice League: The Flashpoint Paradox,2013,PG-13,"Animation, Action, Adventure","An alteration of the timeline for the superhero, The Flash. The Flash must team with other heroes to restore the timeline while the Earth is ravaged by a war between Aquaman's Atlantis and Wonder Woman's Amazons."
Kingsman: The Secret Service,2014,R,"Action, Adventure, Comedy","A young man named Eggsy whose father died when he was a young boy, is dealing with living with the creep his mother is with now, who mistreats her and him. He goes out and does something to one of the creep's friends. He gets arrested and he calls a number a man gave him around the time his father died, to call if he needs help. A man named Harry approaches him and tells him he's the one who helped him. He tells him that he knew his father. When the man Eggsy slighted wants some payback, Harry takes care of him and his companions single handed. Harry then tells Eggsy that he's part of a secret organization called the Kingsman and his father was also part of it. He died trying to make the world safe. Harry offers Eggsy the opportunity to be a Kingsman and he takes it. He undergoes a grueling training course. Harry is looking into the demise of another Kingsman and the trail leads him to tech billionaire named Valentine aka V who is also curious about the group following him, the Kingsman."
Welcome to Me,2014,R,"Comedy, Drama","Alice suffers from borderline personality disorder, but she has what she needs in life. She has an apartment, she has a best friend, and she has tapes of every Oprah Winfrey show. And now, after winning the lottery, she also has 83 million dollars. What she doesn't have is an outlet for the whole world to know who she really is. The TV station cut her off when she tried turning her lottery announcement into a frank discussion of her sexual experiences, but with her money in hand, she's off to LA to convince two struggling TV producer brothers to produce her own TV show. Whatever it costs, she's going to do it. From swan entrances to dog neutering, she is going to introduce the world to Alice. But is the world ready for Alice?"
The Interview,2014,R,Comedy,"In the action-comedy The Interview, Dave Skylark (James Franco) and his producer Aaron Rapoport (Seth Rogen) run the popular celebrity tabloid TV show ""Skylark Tonight."" When they discover that North Korean dictator Kim Jong-un is a fan of the show, they land an interview with him in an attempt to legitimize themselves as journalists. As Dave and Aaron prepare to travel to Pyongyang, their plans change when the CIA recruits them, perhaps the two least-qualified men imaginable, to assassinate Kim Jong-un."
Final Prayer,2013,R,Horror,"A team of Vatican investigators descends upon a church in a remote area to demystify the unusual happenings, but what they discover is more disturbing than they had first imagined."
The Day of the Doctor,2013,TV-PG,"Adventure, Drama, Family","In 2013, something terrible is awakening in London's National Gallery; in 1562, a murderous plot is afoot in Elizabethan England; and somewhere in space an ancient battle reaches its devastating conclusion."
Veronica Mars,2014,PG-13,"Crime, Drama, Mystery","Former teenage private eye and now an aspiring New York City lawyer, Veronica Mars gets one phone call from ex-boyfriend Logan Echolls and she gets pulled right back into the seedy underbelly of Neptune, California. Logan's pop star girlfriend, Bonnie DeVille, has been murdered and he needs Veronica's help to clear his name. DeVille is a fellow Neptune High alum, and her murder and Veronica's return to Neptune coincide with their 10-year high school reunion. Veronica is face to face with old friends and foes alike and finds it's much harder to leave home a second time."
Phoenix,2014,PG-13,"Drama, History, Music","In the aftermath of WWII, Nelly, a Jewish survivor of the Auschwitz concentration camp, horribly disfigured from a bullet wound in her face, undergoes a series of facial reconstruction surgeries and decides to find her husband Johnny who works at the Phoenix club in Berlin. Undoubtedly, Nelly is stunning, yet, her new self is beyond recognition, so Johnny, the man who may have betrayed her to the Nazis, will never imagine that the woman in front of him who bears an uncomfortable and unsettling resemblance to his late wife, is indeed her. Without delay, and with the intention to collect the deceased's inheritance, Nelly will go along with Johnny's plot and she will impersonate the dead woman, giving the performance of a lifetime before friends and relatives in a complex game of deceit, duplicity, and ultimately, seduction. In the end, during this masquerade, as the fragile and broken Nelly tries to find out whether Johnny betrayed her or not, she will have to dig deep into her wounded psyche and inevitably choose between revenge and forgiveness."
Search Party,2014,R,"Adventure, Comedy","Convinced that his buddy Nardo (Thomas Middleditch) is making the mistake of a lifetime by marrying Tracy (Shannon Woodward), Jason (T.J. Miller) puts a dramatic end to their wedding. When the furious bride decides to take her Baja honeymoon solo, Nardo follows her-where the lovesick groom is carjacked and left stranded, naked and penniless in a remote part of the Mexican desert. Helpless, Nardo sends out an SOS to Jason and their pal Evan (Adam Pally), an up-and-coming ad exec slated for an important business meeting the next morning. During their ridiculous attempt to rescue Nardo, the trio embarks on a series of increasingly outrageous misadventures involving con artists, drug smugglers and even the Federales."
The One I Love,2014,R,"Drama, Fantasy, Romance","A troubled couple vacate to a beautiful getaway, but bizarre circumstances further complicate their situation."
"Two Days, One Night",2014,PG-13,Drama,"Sandra Bya, married with two children, has been off work from her job at Solwal on medical leave for depression. During her absence from work, her boss, M. Dumont, on the suggestion of her immediate supervisor, the shop foreman Jean-Marc, figures that her section of the company can function with sixteen people working full time with a bit of overtime instead of seventeen with no overtime, that seventeenth person being Sandra. Because of the global competition the company faces, Dumont decides the company can only finance the annual bonuses for those sixteen employees, which are EUR1,000 per person, or Sandra's job, leaving the decision to those sixteen. On a Friday near the end of her medical leave, Sandra learns of this situation from her friend and co-worker Juliette after the ""show of hands"" vote is held, the result a 13-3 decision for the bonuses over Sandra's job. Because Juliette knows Jean-Marc, who is determined to get rid of Sandra, influenced the vote by scare mongering through misinformation, Juliette and Sandra, at the end of the working day on Friday, are able to convince Dumont to hold another secret ballot on Monday morning, with Sandra needing a majority to keep her job, meaning nine votes. By Saturday morning, Sandra's supportive husband, Manu, convinces her that over the weekend she should speak to each and all of the thirteen who voted for the bonuses to get them to change their minds. The Byas not only need the income from Sandra's job but Manu believes the job is a symbol for Sandra of her own self worth, important now in her tenuous mental state. As Sandra reluctantly goes about this task, she finds that not only is she uncomfortable being in this somewhat confrontational situation, but that the people who voted against her have their own household conflicts over their own EUR1,000, which would keep some of them afloat financially. As the weekend progresses, Sandra will find if she is strong enough emotionally to deal with the situation."
Sharknado,2013,TV-14,"Action, Adventure, Comedy","When a freak hurricane swamps Los Angeles, nature's deadliest killer rules sea, land, and air as thousands of sharks terrorize the waterlogged populace."
The Salvation,2014,R,"Drama, Western","The American West in the 1870s. A European settler, Jon Jensen (Mads Mikkelsen), has just welcomed his wife and son to the country when they are kidnapped and murdered. He takes revenge on the murderers, only to discover that one was the brother of a local land baron, Henry Delarue. Delarue runs the local town with a brutal hand. Now he wants vengeance on the man who killed his brother and the local townspeople are too scared of him to stand up to him. Jon is fighting more than just the local thugs, he is facing the entire town."
Ida,2013,PG-13,Drama,"Poland, 1962. Anna, an orphan brought up by nuns in the convent, is a novice. She has to see Wanda, the only living relative, before she takes her vows. Wanda tells Anna about her Jewish roots. Both women start a journey not only to find their family's tragic story, but to see who they really are and where they belong. They question what they used to believe in."
Blackhat,2015,R,"Crime, Drama, Mystery","Nick Hathaway, an extremely talented hacker who has gone astray, finds his way out of a 15 year prison sentence when parts of a computer code he once wrote during his youth appears in a malware that triggered a terrorist attack in a nuclear power plant in China. This opportunity will reunite him with an old friend but will also put him in the middle of a power game between the American and Chinese government as well as an arch villain hacker whose identity he has to find if he wants to keep his freedom and his life."
Fury,2014,R,"Action, Drama, War","1945, in World War II Germany, the tough Sergeant Don 'Wardaddy' Collier commands a tank and survives a German attack with his veteran crew composed of Boyd 'Bible' Swan, Trini 'Gordo' Garcia and Grady 'Coon-Ass' Travis. He receives a rookie soldier Norman Ellison as the substitute for his deceased gunner and he tries to harden the youth along the way."
Night at the Museum: Secret of the Tomb,2014,PG,"Adventure, Comedy, Family","At the Museum of Natural History, there's a new exhibit being unveiled. Larry Daley, who manages the night exhibit where the exhibits come to life because of the Tablet of Ahkmenrah, is in charge of the presentation. But when the exhibits go awry, Larry finds himself in trouble. He learns the Tablet is corroding so he does some research and learns that Cecil, the former museum guard, was at the site when the Tablet was discovered. He tells Larry they were warned if they remove it could mean the end. Larry realizes it means the end of the magic. He talks to Ahkmenrah who says that he doesn't know anything. Only his father the Pharaoh knows the Tablet's secrets. He learns that the Pharaoh was sent to the London museum. So he convinces Dr. McPhee, the museum curator, to help send him to London. He takes Ahkmenrah with him but some of the others tag along, like Teddy Roosevelt, Attila, Octavius, and Jedediah."
Hitman: Agent 47,2015,R,"Action, Adventure, Crime","HITMAN: AGENT 47 centers on an elite assassin who was genetically engineered from conception to be the perfect killing machine, and is known only by the last two digits on the barcode tattooed on the back of his neck. He is the culmination of decades of research and forty-six earlier Agent clones -- endowing him with unprecedented strength, speed, stamina and intelligence. His latest target is a mega-corporation that plans to unlock the secret of Agent 47's past to create an army of killers whose powers surpass even his own. Teaming up with a young woman who may hold the secret to overcoming their powerful and clandestine enemies, 47 confronts stunning revelations about his own origins and squares off in an epic battle with his deadliest foe."
Star Trek: Beyond,2016,PG-13,"Action, Adventure, Sci-Fi","After stopping off at Starbase Yorktown, a remote outpost on the fringes of Federation space, the USS Enterprise, halfway into their five-year mission, is destroyed by an unstoppable wave of unknown aliens. With the crew stranded on an unknown planet and with no apparent means of rescue, they find themselves fighting against a ruthless enemy with a well-earned hatred of the Federation and everything it stands for. Only a rebellious alien warrior can help them reunite and leave the planet to stop this deadly menace from beginning a possible galactic war."
Midnight Special,2016,PG-13,"Action, Drama, Mystery","Alton Meyer is a boy unlike any other in the world with bizarrely powerful abilities and strange weaknesses. In the middle of the night, his father, Roy, spirits him away from the isolated cult that practically worships him and is determined to regain him at all costs. At the same time, Alton's abilities have been noticed by the US government as well and they are equally insistent on getting to the bottom of this mystery with Paul Sevier of the National Security Agency leading the Federal pursuit with his own questions. These rival hunts force father and son into a desperate run towards a looming date with destiny that could change everything."
Love Is Strange,2014,R,"Drama, Romance","After nearly four decades together, Ben (John Lithgow) and George (Alfred Molina) finally tie the knot in an idyllic wedding ceremony in lower Manhattan. But when George loses his job soon after, the couple must sell their apartment and - victims of the relentless New York City real estate market - temporarily live apart until they can find an affordable new home. While George moves in with two cops (Cheyenne Jackson and Manny Perez) who live down stairs, Ben lands in Brooklyn with his nephew (Darren Burrows), his wife (Marisa Tomei), and their temperamental teenage son (Charlie Tahan), with whom Ben shares a bunk bed. While struggling with the pain of separation, Ben and George are further challenged by the intergenerational tensions and capricious family dynamics of their new living arrangements."
Ben-Hur,2016,PG-13,"Action, Adventure, Drama","Judah Ben-Hur, a prince falsely accused of treason by his adopted brother, an officer in the Roman army, returns to his homeland after years at sea to seek revenge, but finds redemption."
Ted 2,2015,R,Comedy,"Months after John's divorce, Ted and Tami-Lynn's marriage seems on the same road. To patch things up, Ted and Tami-Lynn plan to have a child with John's help, but their failed efforts backfire disastrously. Namely, Ted is declared property by the government and he loses all his civil rights. Now, Ted must fight a seemingly hopeless legal battle with an inexperienced young lawyer to regain his rightful legal status. Unfortunately, between Ted's drunken idiocies and sinister forces interested in this situation to exploit him, Ted's quest has all the odds against him."
The Blue Umbrella,2013,G,"Animation, Short, Family","Amidst the rain in a singing city, two umbrellas- one blue, one not- fall eternally in love."
The Fault in Our Stars,2014,PG-13,"Drama, Romance","Hazel and Augustus are two teenagers who share an acerbic wit, a disdain for the conventional, and a love that sweeps them on a journey. Their relationship is all the more miraculous, given that Hazel's other constant companion is an oxygen tank, Gus jokes about his prosthetic leg, and they meet and fall in love at a cancer support group."
Whiplash,2014,R,"Drama, Music","A young and talented drummer attending a prestigious music academy finds himself under the wing of the most respected professor at the school, one who does not hold back on abuse towards his students. The two form an odd relationship as the student wants to achieve greatness, and the professor pushes him."
Me and Earl and the Dying Girl,2015,PG-13,"Comedy, Drama","Seventeen-year-old Greg has managed to become part of every social group at his Pittsburgh high school without having any friends, but his life changes when his mother forces him to befriend Rachel, a girl he once knew in Hebrew school who has leukemia."
Birdman or (The Unexpected Virtue of Ignorance),2014,R,"Comedy, Drama","Actor Riggan Thomson is most famous for his movie role from over twenty years ago of the comic book superhero Birdman in the blockbuster movie of the same name and its two equally popular sequels. His association with the role took over his life, where Birdman is more renowned than ""Riggan Thomson"" the actor. Now past middle age, Riggan is trying to establish himself as a true artist by writing, directing, starring in and co-producing with his best friend Jake what is his Broadway debut, an adaptation of Raymond Carver's story, What We Talk About When We Talk About Love. He is staking his name, what little artistic reputation that comes with that name and his life savings on the project, and as such will do anything needed to make the play a success. As he and Jake go through the process of the previews toward opening night, Riggan runs into several issues: needing to find a replacement for the integral supporting male role the night before the first preview; hiring the talented Broadway name, Mike Shiner, for that role, Mike who ends up being difficult to work with and who may end up overshadowing Riggan in the play; having to deal potentially with a lawsuit based on one of his actions to ensure success; needing to be there for his daughter, Sam, who he has hired to be his production assistant and who has just come out of drug rehab; and pleasing the New York Times critic, Tabitha Dickinson, who wants to use any excuse to give the play a scathing review which in turn would close the show after the opening night performance. But Riggan's biggest problem may be his own insecurities, which are manifested by him constantly hearing what he believes to be the truth from the voice of his Birdman character, who he often battles both internally and externally."
