Title,Year,Plot
Hearts in Atlantis,2001,"This is a gentle, innocent film about the reflections of an aging man, who returns to his home town after the death of his best friend. Memories of life at age 11 floods back as it was a magical time that changed his life. Three 11 year old children (Bobby, Carol, and Sully) share their lives. Carol and Bobby have a special affection for one another including sharing a kiss ""by which all others will be measured"". Bobby lives with his mother, a bitter, vain woman who looks for pleasures for herself without sharing much with her son. Into their lives comes a mysterious new boarder, who befriends the boy but generates distrust from the mother. As time passes, the man and boy share confidences and special powers are revealed. The man warns the boy to be on the lookout for the ""lowmen"", who were seeking him. The two share a summer's adventures and come to love one another before the inevitable happens. A confrontation with a school bully also changes everyone."
Margaret Cho: I'm the One That I Want,2000,"November, 1999, Margaret Cho is home in San Francisco at the Warfield Theater. Cho structures her monologue loosely on her professional life's trajectory: doing stand-up, cast in an ABC-TV sitcom, losing 30 pounds in two weeks for the part, the show's cancellation, a descent into booze, pills, and self-loathing, and a resurrection into her own voice, her own shape, and being the one she wants. Along the way we visit Karl Langerfeld in jail, a lesbian cruise ship, a TV Guide photo shoot, a hospital, bars, and her family's Polk Street bookshop. Takes on being a fag hag, speeding up felatio, casual daily racism, and her mother's phone messages highlight a scabrous, brilliant performance."
John Q,2002,"John Quincy Archibald's son Michael collapses while playing baseball as a result of heart failure. John rushes Michael to a hospital emergency room where he is informed that Michael's only hope is a transplant. Unfortunately, John's insurance won't cover his son's transplant. Out of options, John Q. takes the emergency room staff and patients hostage until hospital doctors agree to do the transplant."
Innocence,2000,"After more than forty years apart, Andreas and Claire embark on an affair as reckless and intense as when they were young lovers. Widowed musician Andreas decides to get back in touch with his one great love, Claire, who is still married to her first husband, John. Andreas and Claire find that the connection they shared when they were young is still there and they soon become involved in a rekindled love affair. However, this time around, there are more complications, including the possibilities of ill health and death, as well as the impact their relationship might have on John."
Hart's War,2002,"Fourth-generation Army Col. William McNamara is imprisoned in a brutal German POW camp. Still, as the senior-ranking American officer, he commands his fellow inmates, keeping a sense of honor alive in a place where honor is easy to destroy, all under the dangerous eye of the Luftwafe vetran Col. Wilhelm Visser. Never giving up the fight to win the war, McNamara is silently planning, waiting for his moment to strike back at the enemy. A murder in the camp gives him the chance to set a risky plan in motion. With a court martial to keep Visser and the Germans distracted, McNamara orchestrates a cunning scheme to escape and destroy a nearby munitions plant, enlisting the unwitting help of young Lt. Tommy Hart. Together with his men, McNamara uses a hero's resolve to carry out his mission, ultimately forced to weigh the value of his life against the good of his country."
Evolution,2001,"When a meteorite falls to Earth two college professors, Dr. Ira Kane and Prof. Harry Phineas Block, are assigned the job of checking the site out. At the site, they discover organisms not of this planet. Soon the site is taken over by the government, forcing Ira and Harry to the side. As the new life-forms begin to evolve and start to get more and more dangerous, it's up to the two professors to save the planet."
Series 7: The Contenders,2001,"Ever seen the show ""Survivor"" and wished they would just start killing each other?? Series 7 literally gives its contestants the guns. The film is not merely a satire on reality TV. It is an example of just how far people will shamelessly go for fame. 6 contenders are pitted against each other in a no holds barred, kill or be killed contest. The reigning champ is Dawn, a hard-nosed, mother-to-be. We go back and forth between Dawn and the other 5 contenders to see if someone can dethrone Dawn and become the new Champion. What is the prize? How are the contestants picked? These questions are not as important as asking yourself how shameless has our society become?"
Our Lady of the Assassins,2000,"The tempestuous love story between Fernando, an older man who has recently returned to his crime-ridden drug capitol hometown of Medellin, Colombia and the gun-happy 16-year-old assassin ..."
See Spot Run,2001,"A drug sniffing agent canine is a target for an assassin boss so the FBI calls Witness Protection to send him somewhere else. Meanwhile a single Mom puts her 6 year old boy James in the care of her irresponsible, mailman, neighbor, Gordon, when the babysitter bails on her. Meanwhile, an assassin mob boss hires 2 goons to kill Agent 11. But when 11 escapes from the van when they tried to kill him, he hides in Gordon's Mailtruck that James is in too. And guess what they name him. Spot."
Rat Race,2001,"Donald P. Sinclair has placed six separate gold coins in different slot machines in his casino. The lucky six who find these coins discover an opportunity of a lifetime. The chance to own $2 million. Locked up in a locker in New Mexico, these six contestants must now race each other, to be the first to the cash. There are no rules in place and everything that could possibly happen, does. Whilst, behind the scenes, Sinclair's associates are placing their bets."
Legally Blonde,2001,"Elle Woods (Reese Witherspoon) has it all. She's the president of her sorority, a Hawaiian Tropic girl, Miss June in her campus calendar, and, above all, a natural blonde. She dates the cutest fraternity boy on campus and wants nothing more than to be Mrs. Warner Huntington III. But, there's just one thing stopping Warner (Matthew Davis) from popping the question: Elle is too blonde. Growing up across the street from Aaron Spelling might mean something in LA, but nothing to Warner's East-Coast blue blood family. So, when Warner packs up for Harvard Law and reunites with an old sweetheart from prep school, Elle rallies all her resources and gets into Harvard, determined to win him back. But law school is a far cry from the comforts of her poolside and the mall. Elle must wage the battle of her life, for her guy, for herself and for all the blondes who suffer endless indignities everyday."
The Deep End,2001,"With her husband perpetually away at work, a mother raises her children virtually alone. Her teenage son is testing the waters of the adult world, and early one morning she wakes to find the dead body of his gay lover on the beach of their rural lakeside home. What would you do? What is rational and what do you do to protect your child? How far do you go and when do you stop?"
Crazy/Beautiful,2001,"When fate brings together two high school seniors from opposite sides of the tracks, it's something crazy/beautiful. Nicole (Kirsten Dunst) is the 17-year-old troubled daughter of a wealthy congressman who never met a rule she didn't break. Carlos (Jay Hernandez) is a grade A student with big dreams who endures a two-hour bus ride every morning to attend high school in an upscale L.A. neighborhood. Their innocent flirtations quickly develop into passionate love, but Nicole's self-destructive behavior threatens their relationship and puts Carlos' promising future in jeopardy. Will their intense passion keep them together despite the objections of their families or will Carlos be forced to plan his future without Nicole?"
All Over the Guy,2001,"""All Over The Guy"" is a contemporary romantic comedy about the quest to find the ""one"" when ""the one"" doesn't know he's the ""one."" It explores the unlikely pairing of two 20-somethings thrown together by their respective best friends in hopes of igniting their own romance. They do everything they can to NOT fall in love, but finally they overcome the dysfunction of their parents and surrender to their hearts."
Storytelling,2001,"Storytelling is comprised of two separate stories set against the sadly comical terrain of college and high school, past and present. Following the paths of its young hopeful/ troubled characters, it explores issues of sex, race, celebrity and exploitation"
Domestic Disturbance,2001,"Susan Morrison is getting married to wealthy industrialist Rick Barnes. Danny, her teenage son with ex-husband Frank, isn't happy about this; he stows away in Rick's car one night, planning to go to Frank's house. But while there, he witnesses Rick murdering mysterious stranger Ray Coleman. Problem is, Rick's managed to dispose of most of the evidence, and he's considered a pillar of the community, while Danny has a history of lying. Frank believes him, though, and does some investigating of his own, as Rick's shady past slowly catches up to him and his new family."
Billy Elliot,2000,"County Durham, during the endless, violent 1984 strike against the Thatcher closure of British coal mines. Widower Jackie Elliot and his firstborn, fellow miner Tony, take a dim view of 11 year-old second son Billy's poor record in boxing class, which worsens when they discover he sneakily transferred to the neighboring, otherwise girls-only-attended ballet class. Only one schoolmate, closet-gay Michael Caffrey, encourages Billy's desire, aroused by the teacher, who judged him talented enough for private lesson, to train and try out for the world-renowned Royal Ballet audition. Only the prospect of a fancy career unimagined in the pauper quarter may twist pa and big brother's opposition to indispensable support."
Rape Me,2000,"Manu and Nadine lose their last tenuous relationship with main-stream society when Manu gets raped and Nadine sees her only friend being shot. After a chance encounter, they embark on an explosive journey of sex and murder. Perhaps as a revenge against men, perhaps as a revolt against bourgeois society, but certainly in a negation - almost joyful in its senseless violence - of all the codes of a society which has excluded, raped and humiliated them. Controversial for its violence and real sex scenes: a vividly nihilist road movie set in France."
Into the Arms of Strangers: Stories of the Kindertransport,2000,"For nine months prior to World War II, in an act of mercy unequalled anywhere else before the war, Britain conducted an extraordinary rescue mission, opening its doors to over 10,000 Jewish and other children from Germany, Austria, and Czechoslovakia. These children, or Kinder (sing. Kind), as they came to be known, were taken into foster homes and hostels in Britain, expecting eventually to be reunited with their parents. The majority of them never saw their families again."
Hedwig and the Angry Inch,2001,"Hedwig, born male as Hansel in East Berlin, fell in love with an American G.I. and underwent a Gender Confirmation Surgery in order to marry him and flee to the West. Unfortunately, nothing worked out quite as it was supposed to - years later, Hedwig is leading her rock band on a tour of the U.S., telling her life story through a series of concerts at Bilgewater Inn seafood restaurants. Her tour dates coincide with those of arena-rock star Tommy Gnosis, a wide-eyed boy who once loved Hedwig - but then left with all her songs."
Ali,2001,"In 1964, a brash new pro boxer, fresh from his olympic gold medal victory, explodes on to the scene, Cassius Clay. Bold and outspoken, he cuts an entirely new image for African Americans in sport with his proud public self confidence with his unapologetic belief that he is the greatest boxer of all time. To his credit, he sets out to prove that with his highly agile and forceful style soon making him a formidable boxer who soon claims the heavyweight championship. His personal life is no less noteworthy with his allegiance to the Nation of Islam, his friendship with the controversial Malcolm X and his abandonment of his slave name in favour of Muhammad Ali stirring up controversy. Yet, at the top of his game, both Ali's personal and professional lives face the ultimate test with the military draft rules are changed, making him eligible for military induction during the Vietnam War. Despite the fact that he could easily agree to a sweetheart deal that would have meant an easy tour of duty for himself, Ali refuses to submit on principle to cooperate in an unjust war for a racist nation that treated his people so poorly. The cost of that stand is high as he finds himself unable to legally box in his own country while his case is contested in court. What follows is a battle for a man who would sacrifice so much for what he believes in and a comeback that would cement his legend as one of the great sports figures of all time."
Super Troopers,2001,"Thorny, Mac, Rabbit, Foster and Farva are Vermont state troopers out to have a good time. Stationed in a remote area near the Canadian border, the troopers, avid pranksters with an affinity for syrup, have a knack for screwing up on the job. But when budget cuts in the town of Spurbury threaten their livelihood and pit them against arch-rival Spurbury P.D., the five friends try to straighten up and fly right. That is, until a dead body is discovered and a possible drug ring is unearthed. The super troopers spring into action attempting to solve the crime, save their jobs, and outdo the local police department."
The Princess Diaries,2001,"Mia Thermopolis is the average teenager - sweet, a little geeky and pretty much invisible to everyone with the exception of her mother, best friend Lilly and Lilly's older brother Michael. Making it through high school without throwing up is a challenge in itself for Mia, so it doesn't come as welcome news when her estranged grandmother shows up out of the blue and calmly informs her that she is in fact the heir to the throne of a European country called Genovia. Suddenly Mia's life is thrown into complete overload. She's being taught about scarves, waves and pears in order to become a perfect princess, she gets a makeover and a tough looking yet sweet bodyguard/limo driver called Joe. Things get out of hand when the media gets a hold of the story and suddenly Mia is thrust into the spotlight in both the newspapers and in school. On top of all that Mia has a choice to make. She must decide by Genovia's Independence Day Ball whether she longs to relinquish her claim on the throne or to become the princess and heir to the throne her father and grandmother want her to be."
Before Night Falls,2000,"Episodic look at the life of Cuban poet and novelist, Reinaldo Arenas (1943-1990), from his childhood in Oriente province to his death in New York City. He joins Castro's rebels. By 1964, he is in Havana. He meets the wealthy Pepe, an early lover; a love-hate relationship lasts for years. Openly gay behavior is a way to spite the government. His writing and homosexuality get him into trouble: he spends two years in prison, writing letters for other inmates and smuggling out a novel. He befriends Lázaro Gomes Garriles, with whom he lives stateless and in poverty in Manhattan after leaving Cuba in the Mariel boat-lift. When asked why he writes, he replies cheerfully, ""Revenge."""
Tomcats,2001,"Seven years ago, a bunch of friends make a bet that'll give the last remaining bachelor a ton of money. Now, after losing a ton of money at a Vegas Casino, Michael Delaney has to quickly get his friend Kyle married so that he can collect the prize money to pay back his debt."
Rollerball,2002,"In this fast action-packed thriller, Jonathan (Chris Klein), Marcus (LL Cool J), and Aurora (Rebecca Romijn) compete in a dangerous, fierce sport called Rollerball. Although, Johnathan and Marcus try to quit, cruel and vindictive promoter Alexi Petrovich (Jean Reno) encourages them to still participate. Petrovich sends his men to attack them while they are on a trip, but Johnathan survives. In the end during a game of Rollberball, Petrovich attempts a public execution of Johnathan, but the question is will Johnathan get revenge."
